X 0x107c273d0 0x107c27641 1129177.739703000
E 0x107c27350 0x107c2764d 1129177.739703000
X 0x107c27350 0x107c2764d 1129177.739704000
E 0x107c27810 0x107c27676 1129177.739704000
E 0x107c27700 0x107c27849 1129177.739704000
X 0x107c27700 0x107c27849 1129177.739705000
X 0x107c27810 0x107c27676 1129177.739705000
E 0x107c273d0 0x107c27641 1129177.739706000
X 0x107c273d0 0x107c27641 1129177.739706000
E 0x107c27350 0x107c2764d 1129177.739707000
X 0x107c27350 0x107c2764d 1129177.739707000
E 0x107c27810 0x107c27676 1129177.739707000
E 0x107c27700 0x107c27849 1129177.739708000
X 0x107c27700 0x107c27849 1129177.739708000
X 0x107c27810 0x107c27676 1129177.739709000
E 0x107c273d0 0x107c27641 1129177.739709000
X 0x107c273d0 0x107c27641 1129177.739710000
E 0x107c27350 0x107c2764d 1129177.739710000
X 0x107c27350 0x107c2764d 1129177.739710000
E 0x107c27810 0x107c27676 1129177.739722000
E 0x107c27700 0x107c27849 1129177.739722000
X 0x107c27700 0x107c27849 1129177.739723000
X 0x107c27810 0x107c27676 1129177.739723000
E 0x107c273d0 0x107c27641 1129177.739724000
X 0x107c273d0 0x107c27641 1129177.739724000
E 0x107c27350 0x107c2764d 1129177.739724000
X 0x107c27350 0x107c2764d 1129177.739725000
E 0x107c27810 0x107c27676 1129177.739725000
E 0x107c27700 0x107c27849 1129177.739726000
X 0x107c27700 0x107c27849 1129177.739726000
X 0x107c27810 0x107c27676 1129177.739726000
E 0x107c273d0 0x107c27641 1129177.739727000
X 0x107c273d0 0x107c27641 1129177.739727000
E 0x107c27350 0x107c2764d 1129177.739728000
X 0x107c27350 0x107c2764d 1129177.739728000
E 0x107c27810 0x107c27676 1129177.739728000
E 0x107c27700 0x107c27849 1129177.739729000
X 0x107c27700 0x107c27849 1129177.739729000
X 0x107c27810 0x107c27676 1129177.739730000
E 0x107c273d0 0x107c27641 1129177.739730000
X 0x107c273d0 0x107c27641 1129177.739731000
E 0x107c27350 0x107c2764d 1129177.739731000
X 0x107c27350 0x107c2764d 1129177.739731000
E 0x107c27810 0x107c27676 1129177.739732000
E 0x107c27700 0x107c27849 1129177.739732000
X 0x107c27700 0x107c27849 1129177.739732000
X 0x107c27810 0x107c27676 1129177.739733000
E 0x107c273d0 0x107c27641 1129177.739733000
X 0x107c273d0 0x107c27641 1129177.739734000
E 0x107c27350 0x107c2764d 1129177.739734000
X 0x107c27350 0x107c2764d 1129177.739735000
E 0x107c27810 0x107c27676 1129177.739735000
E 0x107c27700 0x107c27849 1129177.739735000
X 0x107c27700 0x107c27849 1129177.739736000
X 0x107c27810 0x107c27676 1129177.739736000
E 0x107c273d0 0x107c27641 1129177.739737000
X 0x107c273d0 0x107c27641 1129177.739737000
E 0x107c27350 0x107c2764d 1129177.739737000
X 0x107c27350 0x107c2764d 1129177.739738000
E 0x107c27810 0x107c27676 1129177.739738000
E 0x107c27700 0x107c27849 1129177.739739000
X 0x107c27700 0x107c27849 1129177.739739000
X 0x107c27810 0x107c27676 1129177.739740000
E 0x107c273d0 0x107c27641 1129177.739740000
X 0x107c273d0 0x107c27641 1129177.739740000
E 0x107c27350 0x107c2764d 1129177.739741000
X 0x107c27350 0x107c2764d 1129177.739741000
E 0x107c27810 0x107c27676 1129177.739742000
E 0x107c27700 0x107c27849 1129177.739742000
X 0x107c27700 0x107c27849 1129177.739742000
X 0x107c27810 0x107c27676 1129177.739743000
E 0x107c273d0 0x107c27641 1129177.739743000
X 0x107c273d0 0x107c27641 1129177.739744000
E 0x107c27350 0x107c2764d 1129177.739744000
X 0x107c27350 0x107c2764d 1129177.739744000
E 0x107c27810 0x107c27676 1129177.739745000
